* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160222_CH_Mcap_2.eds
* Experiment Run End Time = 2016-02-22 12:59:02 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP
A1																		N	N	N
A2	69-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.0904	29.26	0.2399				false	0.01	true	3	24		N	N	N
A3	69-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.4296	29.26	0.2399				false	0.01	true	3	24		N	N	N
A4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	28.8083	28.4886	0.4522				false	0.01	true	3	22		N	N	N
A5	58-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.7289	28.2101	0.7338				false	0.01	true	3	25		N	Y	N
A6	58-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.6912	28.2101	0.7338				false	0.01	true	3	24		N	Y	N
A7	58-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	35.3033	35.381	0.1099				false	0.01	false	3	20		N	N	N
A7	58-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	29.6992	29.8132	0.1613				false	0.01	false	3	20		N	N	N
A8	58-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	35.4586	35.381	0.1099				false	0.01	false	3	20		N	N	N
A8	58-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	29.9272	29.8132	0.1613				false	0.01	false	3	20		N	N	N
A9	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	30.3058	30.282	0.0337				false	0.01	false	3	20		N	N	N
A9	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	29.7409	29.5433	0.2794				false	0.01	false	3	20		N	N	N
A10	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	30.2581	30.282	0.0337				false	0.01	false	3	20		N	N	N
A10	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	29.3457	29.5433	0.2794				false	0.01	false	3	20		N	N	N
A11																		N	N	N
A12																		N	N	N
B1	237-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.1438	31.328	1.1537				false	0.01	true	3	29		N	Y	N
B2	237-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.5122	31.328	1.1537				false	0.01	true	3	27		N	Y	N
B3	237-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	27.6031	27.8074	0.289				false	0.01	false	3	20		N	N	N
B3	237-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
B4	237-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.0118	27.8074	0.289				false	0.01	false	3	20		N	N	N
B4	237-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
B5	58-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.8109	26.7958	0.0214				false	0.01	true	3	24		N	N	N
B6	58-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.7807	26.7958	0.0214				false	0.01	true	3	23		N	N	N
B7	58-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	35.3677	35.3015	0.0937				false	0.01	false	3	20		N	N	N
B7	58-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
B8	58-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	35.2352	35.3015	0.0937				false	0.01	false	3	20		N	N	N
B8	58-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
B9	208-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	25.4705	25.2026	0.3788				false	0.01	true	3	23		N	N	N
B10	208-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	24.9347	25.2026	0.3788				false	0.01	true	3	22		N	N	N
B11	208-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	29.41	29.0983	0.4407				false	0.01	false	3	20		N	N	N
B11	208-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	28.7007	28.9251	0.3173				false	0.01	false	3	20		N	N	N
