Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160222_CH_Mcap_3.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-22 14:54:21 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,EXPFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,211-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.84088898,29.4002533,0.791060627,,,,FALSE,0.01,TRUE,3,24,,N,Y,N
A3,211-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.95961761,29.4002533,0.791060627,,,,FALSE,0.01,TRUE,3,27,,N,Y,N
A4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,27.36835098,27.53244019,0.232055828,,,,FALSE,0.01,TRUE,3,25,,N,N,N
A5,121-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.40286064,28.48421097,0.115045384,,,,FALSE,0.01,TRUE,3,25,,N,N,N
A6,121-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.56555939,28.48421097,0.115045384,,,,FALSE,0.01,TRUE,3,26,,N,N,N
A7,121-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,29.20839119,29.0912056,0.165725455,,,,FALSE,0.01,FALSE,5,20,,N,N,N
A7,121-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
A8,121-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,28.97402,29.0912056,0.165725455,,,,FALSE,0.01,FALSE,5,20,,N,N,N
A8,121-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
A9,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.95021629,30.97975922,0.041778654,,,,FALSE,0.01,FALSE,5,20,,N,N,N
A9,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,30.26899147,30.34218979,0.103516705,,,,FALSE,0.01,FALSE,5,20,,N,N,N
A10,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,31.00930023,30.97975922,0.041778654,,,,FALSE,0.01,FALSE,5,20,,N,N,N
A10,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,30.4153862,30.34218979,0.103516705,,,,FALSE,0.01,FALSE,5,20,,N,N,N
A11,,,,,,,,,,,,,,,,,,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N
B1,69-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.00477982,25.68007278,0.45920375,,,,FALSE,0.01,TRUE,3,24,,N,N,N
B2,69-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,25.35536766,25.68007278,0.45920375,,,,FALSE,0.01,TRUE,3,21,,N,N,N
B3,69-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,28.17292976,28.42165565,0.351751536,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
B3,69-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,30.32237816,30.8537178,0.751426399,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
B4,69-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,28.67038155,28.42165565,0.351751536,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
B4,69-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,31.38505554,30.8537178,0.751426399,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
B5,121-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.30931091,25.42191696,0.159250349,,,,FALSE,0.01,TRUE,3,23,,N,N,N
B6,121-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.53452492,25.42191696,0.159250349,,,,FALSE,0.01,TRUE,3,23,,N,N,N
