Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160224_CH_Mcap_6.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-24 12:43:42 PM HST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N,N
A2,131-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,27.5555191,27.86750603,0.441216141,,,,FALSE,0.01,TRUE,3,21,,N,N,N,N
A3,131-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.17949295,27.86750603,0.441216141,,,,FALSE,0.01,TRUE,3,24,,N,N,N,N
A4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,28.92560768,29.06417847,0.195967332,,,,FALSE,0.01,TRUE,3,23,,N,N,N,N
A5,112-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,27.48516846,27.77721596,0.413017541,,,,FALSE,0.01,TRUE,3,23,,N,N,N,N
A6,112-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.06926346,27.77721596,0.413017541,,,,FALSE,0.01,TRUE,3,23,,N,N,N,N
A7,112-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,32.67732239,32.76260376,0.120603375,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
A7,112-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,28.79057693,29.01779556,0.321335673,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
A8,112-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,32.84788132,32.76260376,0.120603375,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
A8,112-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,29.24501419,29.01779556,0.321335673,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
A9,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.85868073,30.96290207,0.147389889,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
A9,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,29.99154854,30.24650574,0.360565275,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
A10,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,31.06712151,30.96290207,0.147389889,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
A10,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,30.50146484,30.24650574,0.360565275,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
A11,,,,,,,,,,,,,,,,,,N,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N,N
B1,112-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.90734673,27.44643784,0.651822269,,,,FALSE,0.01,TRUE,3,22,,N,Y,N,N
B2,112-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.98553085,27.44643784,0.651822269,,,,FALSE,0.01,TRUE,3,23,,N,Y,N,N
B3,112-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,31.07346344,30.92332458,0.21232976,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
