* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160226_CH_Mcap_11.eds
* Experiment Run End Time = 2016-02-26 13:49:40 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	EXPFAIL
A1																		N	N	N
A2	66-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.9352	29.1502	0.304				false	0.01	true	3	25		N	N	N
A3	66-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.3652	29.1502	0.304				false	0.01	true	3	25		N	N	N
A4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	27.6799	27.6611	0.0266				false	0.01	true	3	24		N	N	N
A5	130-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.5979	30.5635	0.0486				false	0.01	true	3	27		N	N	N
A6	130-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.5291	30.5635	0.0486				false	0.01	true	3	27		N	N	N
A7	130-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
A7	130-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	27.7422	26.6469	1.549				false	0.01	false	3	20		N	Y	N
A8	130-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
A8	130-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	25.5516	26.6469	1.549				false	0.01	false	3	20		N	Y	N
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A11	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	30.6133	30.656	0.0604				false	0.01	false	3	20		N	N	N
A11	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	29.4892	29.3861	0.1458				false	0.01	false	3	20		N	N	N
A12																		N	N	N
B1	66-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.8947	29.6966	0.2801				false	0.01	true	3	25		N	N	N
B2	66-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.4985	29.6966	0.2801				false	0.01	true	3	25		N	N	N
B3	66-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	26.5973	26.4293	0.2376				false	0.01	false	3	20		N	N	N
B3	66-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
B4	66-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	26.2613	26.4293	0.2376				false	0.01	false	3	20		N	N	N
B4	66-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
B5	130-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.0978	27.9403	0.2229				false	0.01	true	3	23		N	N	N
B6	130-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.7827	27.9403	0.2229				false	0.01	true	3	24		N	N	N
B7	130-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
B7	130-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	22.0706	24.1631	2.9592				false	0.01	false	3	20		N	Y	N
B8	130-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
B8	130-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	26.2555	24.1631	2.9592				false	0.01	false	3	20		N	Y	N
B9	4-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.4664	29.5906	0.1756				false	0.01	true	3	26		N	N	N
B10	4-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.7147	29.5906	0.1756				false	0.01	true	3	24		N	N	N
B11	4-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
B11	4-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	21.6948	24.4066	3.835				false	0.01	false	3	20		N	Y	N
B12	4-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
B12	4-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	27.1184	24.4066	3.835				false	0.01	false	3	20		N	Y	N
C1	66-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	25.3946	25.5149	0.1702				false	0.01	true	3	22		N	N	N
C2	66-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	25.6353	25.5149	0.1702				false	0.01	true	3	22		N	N	N
C3	66-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	24.964	24.8942	0.0987				false	0.01	false	3	20		N	N	N
C3	66-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
C4	66-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	24.8244	24.8942	0.0987				false	0.01	false	3	20		N	N	N
C4	66-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
C5	130-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.557	33.21	0.4906				false	0.01	true	3	27		N	N	N
C6	130-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.8631	33.21	0.4906				false	0.01	true	3	28		N	N	N
C7	130-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
C7	130-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	25.0459	25.7828	1.0421				false	0.01	false	3	20		N	Y	N
C8	130-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
C8	130-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	26.5196	25.7828	1.0421				false	0.01	false	3	20		N	Y	N
C9	4-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.445	26.398	0.0665				false	0.01	true	3	22		N	N	N
C10	4-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.351	26.398	0.0665				false	0.01	true	3	22		N	N	N
C11	4-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
C11	4-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	21.474	23.3761	2.6901				false	0.01	false	3	20		N	Y	N
C12	4-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
C12	4-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	25.2783	23.3761	2.6901				false	0.01	false	3	20		N	Y	N
