Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160229_CH_Mcap_12.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-29 14:16:37 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD
A1,,,,,,,,,,,,,,,,,,N,N
A2,202-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.74959183,33.45166779,0.421325535,,,,FALSE,0.01,TRUE,3,28,,N,N
A3,202-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.15374756,33.45166779,0.421325535,,,,FALSE,0.01,TRUE,3,28,,N,N
A4,(+)-208-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,1,2,,N,N
A5,208-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,34.55220795,34.33396149,0.308649808,,,,FALSE,0.01,TRUE,3,29,,N,N
A6,208-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,34.11571121,34.33396149,0.308649808,,,,FALSE,0.01,TRUE,3,30,,N,N
A7,208-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,30.39327431,30.4395256,0.065410562,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,208-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,29.46720314,29.59832764,0.185438037,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,208-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,30.48577881,30.4395256,0.065410562,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,208-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,29.72945213,29.59832764,0.185438037,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,(+)-208-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,29.26162529,28.7483902,0.725823998,,,,FALSE,0.01,FALSE,3,20,,N,Y
A11,(+)-208-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,26.83559227,26.0920372,1.05154705,,,,FALSE,0.01,FALSE,3,20,,N,Y
A12,,,,,,,,,,,,,,,,,,N,N
B1,202-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,27.19877815,27.01182175,0.264394939,,,,FALSE,0.01,TRUE,3,23,,N,N
B2,202-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.82486725,27.01182175,0.264394939,,,,FALSE,0.01,TRUE,3,22,,N,N
B3,202-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,28.94299126,29.32426071,0.539195061,,,,FALSE,0.01,FALSE,3,20,,N,Y
B3,202-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,202-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,29.70552826,29.32426071,0.539195061,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,202-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B5,208-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,24.68772507,24.68772507,,,,,FALSE,0.01,TRUE,3,21,,N,N
B6,208-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,Undetermined,24.68772507,,,,,FALSE,0.01,TRUE,1,2,,N,N
B7,208-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,29.63660049,29.65528488,0.026422365,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,208-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,27.85398483,27.83042336,0.03332096,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,208-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,29.67396736,29.65528488,0.026422365,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,208-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,27.80686188,27.83042336,0.03332096,,,,FALSE,0.01,FALSE,3,20,,N,N
B9,224-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,32.69363785,32.95011902,0.362716466,,,,FALSE,0.01,TRUE,3,29,,N,N
B10,224-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.20659637,32.95011902,0.362716466,,,,FALSE,0.01,TRUE,3,28,,N,N
B11,224-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,26.84078217,27.00109482,0.226717681,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,224-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
B12,224-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,27.16140938,27.00109482,0.226717681,,,,FALSE,0.01,FALSE,3,20,,N,N
B12,224-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
C1,32-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,29.76420021,29.91437149,0.212372914,,,,FALSE,0.01,TRUE,3,25,,N,N
C2,32-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,30.06454086,29.91437149,0.212372914,,,,FALSE,0.01,TRUE,3,26,,N,N
C3,32-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
C3,32-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,29.19848442,29.18031693,0.025692718,,,,FALSE,0.01,FALSE,3,20,,N,N
C4,32-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
C4,32-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,29.16214943,29.18031693,0.025692718,,,,FALSE,0.01,FALSE,3,20,,N,N
C5,69-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.83599663,28.47328949,0.512943983,,,,FALSE,0.01,TRUE,3,22,,N,Y
C6,69-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.11058426,28.47328949,0.512943983,,,,FALSE,0.01,TRUE,3,21,,N,Y
C7,69-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,29.90516281,29.84926605,0.079051301,,,,FALSE,0.01,FALSE,3,20,,N,N
C7,69-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,31.50393486,31.44706535,0.080425628,,,,FALSE,0.01,FALSE,3,20,,N,N
C8,69-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,29.79336739,29.84926605,0.079051301,,,,FALSE,0.01,FALSE,3,20,,N,N
C8,69-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,31.39019585,31.44706535,0.080425628,,,,FALSE,0.01,FALSE,3,20,,N,N
C9,224-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.39647865,26.23987198,0.221473932,,,,FALSE,0.01,TRUE,3,21,,N,N
C10,224-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.08326721,26.23987198,0.221473932,,,,FALSE,0.01,TRUE,3,20,,N,N
C11,224-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,28.2063179,28.37421417,0.237442538,,,,FALSE,0.01,FALSE,3,20,,N,N
C11,224-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
C12,224-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,28.54211235,28.37421417,0.237442538,,,,FALSE,0.01,FALSE,3,20,,N,N
C12,224-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
D1,126-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.40324783,27.96863937,0.614629149,,,,FALSE,0.01,TRUE,3,22,,N,Y
D2,126-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,27.53403091,27.96863937,0.614629149,,,,FALSE,0.01,TRUE,3,23,,N,Y
D3,126-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
D3,126-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,28.8728466,29.01361656,0.199078783,,,,FALSE,0.01,FALSE,3,20,,N,N
D4,126-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
D4,126-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,29.15438652,29.01361656,0.199078783,,,,FALSE,0.01,FALSE,3,20,,N,N
D5,238-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,34.15434265,34.32615662,0.24298434,,,,FALSE,0.01,TRUE,3,30,,N,N
D6,238-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,34.4979744,34.32615662,0.24298434,,,,FALSE,0.01,TRUE,3,29,,N,N
D7,238-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,29.98842621,29.77927399,0.295787245,,,,FALSE,0.01,FALSE,3,20,,N,N
D7,238-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,29.83614349,29.75576019,0.113680504,,,,FALSE,0.01,FALSE,3,20,,N,N
D8,238-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,29.57011986,29.77927399,0.295787245,,,,FALSE,0.01,FALSE,3,20,,N,N
D8,238-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,29.67537498,29.75576019,0.113680504,,,,FALSE,0.01,FALSE,3,20,,N,N
D9,25-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.37253571,25.23989677,0.187579781,,,,FALSE,0.01,TRUE,3,19,,N,N
D10,25-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.10725784,25.23989677,0.187579781,,,,FALSE,0.01,TRUE,3,20,,N,N
D11,25-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,26.23820305,26.23416138,0.005715787,,,,FALSE,0.01,FALSE,3,20,,N,N
D11,25-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
D12,25-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,26.23011971,26.23416138,0.005715787,,,,FALSE,0.01,FALSE,3,20,,N,N
D12,25-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
E1,237-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,31.81468773,31.74711609,0.095562078,,,,FALSE,0.01,TRUE,3,27,,N,N
E2,237-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,31.67954254,31.74711609,0.095562078,,,,FALSE,0.01,TRUE,3,25,,N,N
E3,237-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,28.4183712,28.3805809,0.0534449,,,,FALSE,0.01,FALSE,3,20,,N,N
E3,237-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
E4,237-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,28.3427887,28.3805809,0.0534449,,,,FALSE,0.01,FALSE,3,20,,N,N
E4,237-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
E5,238-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,25.9881649,25.99785233,0.013698737,,,,FALSE,0.01,TRUE,3,21,,N,N
E6,238-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.00753784,25.99785233,0.013698737,,,,FALSE,0.01,TRUE,3,20,,N,N
E7,238-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,27.15447998,27.07210922,0.116489843,,,,FALSE,0.01,FALSE,3,20,,N,N
