* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160229_CH_Mcap_12.eds
* Experiment Run End Time = 2016-02-29 14:16:37 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD
A1																		N	N
A2	202-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.7496	33.4517	0.4213				false	0.01	true	3	28		N	N
A3	202-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.1537	33.4517	0.4213				false	0.01	true	3	28		N	N
A4	(+)-208-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	1	2		N	N
A5	208-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	34.5522	34.334	0.3086				false	0.01	true	3	29		N	N
A6	208-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	34.1157	34.334	0.3086				false	0.01	true	3	30		N	N
A7	208-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	30.3933	30.4395	0.0654				false	0.01	false	3	20		N	N
A7	208-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	29.4672	29.5983	0.1854				false	0.01	false	3	20		N	N
A8	208-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	30.4858	30.4395	0.0654				false	0.01	false	3	20		N	N
A8	208-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	29.7295	29.5983	0.1854				false	0.01	false	3	20		N	N
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A11	(+)-208-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	29.2616	28.7484	0.7258				false	0.01	false	3	20		N	Y
A11	(+)-208-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	26.8356	26.092	1.0515				false	0.01	false	3	20		N	Y
A12																		N	N
B1	202-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.1988	27.0118	0.2644				false	0.01	true	3	23		N	N
B2	202-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.8249	27.0118	0.2644				false	0.01	true	3	22		N	N
B3	202-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	28.943	29.3243	0.5392				false	0.01	false	3	20		N	Y
B3	202-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
B4	202-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	29.7055	29.3243	0.5392				false	0.01	false	3	20		N	Y
B4	202-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
B5	208-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	24.6877	24.6877					false	0.01	true	3	21		N	N
B6	208-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined	24.6877					false	0.01	true	1	2		N	N
B7	208-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	29.6366	29.6553	0.0264				false	0.01	false	3	20		N	N
B7	208-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	27.854	27.8304	0.0333				false	0.01	false	3	20		N	N
B8	208-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	29.674	29.6553	0.0264				false	0.01	false	3	20		N	N
B8	208-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	27.8069	27.8304	0.0333				false	0.01	false	3	20		N	N
B9	224-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.6936	32.9501	0.3627				false	0.01	true	3	29		N	N
B10	224-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.2066	32.9501	0.3627				false	0.01	true	3	28		N	N
