* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160302_CH_Mcap_16.eds
* Experiment Run End Time = 2016-03-02 14:15:24 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	120-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.3803	29.2737	0.1508				false	0.2	true	3	23		N	N
A3	120-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.167	29.2737	0.1508				false	0.2	true	3	22		N	N
A4	(+)208-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.3035	27.8801	0.5987				false	0.2	true	3	21		Y	N
A5	120-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.2104	29.2608	0.0713				false	0.2	true	3	23		N	N
A6	120-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.3112	29.2608	0.0713				false	0.2	true	3	23		N	N
A7	120-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.2197	30.3672	0.2086				false	0.01	false	3	20		N	N
A7	120-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	30.1579	30.1837	0.0365				false	0.01	false	3	20		N	N
A8	120-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.5147	30.3672	0.2086				false	0.01	false	3	20		N	N
A8	120-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	30.2096	30.1837	0.0365				false	0.01	false	3	20		N	N
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A11	(+)208-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	29.6642	28.8119	1.2054				false	0.01	false	3	20		Y	N
A11	(+)208-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	27.3852	25.0073	3.3629				false	0.01	false	3	20		Y	N
A12																		N	N
B1	120-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.3794	32.258	0.1717				false	0.2	true	3	27		N	N
B2	120-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.1366	32.258	0.1717				false	0.2	true	3	26		N	N
B3	120-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	29.0276	29.062	0.0487				false	0.01	false	3	20		N	N
B3	120-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	29.0667	29.3193	0.3572				false	0.01	false	3	20		N	N
B4	120-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	29.0964	29.062	0.0487				false	0.01	false	3	20		N	N
B4	120-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	29.572	29.3193	0.3572				false	0.01	false	3	20		N	N
B5	227-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.0493	29.117	0.0958				false	0.2	true	3	23		N	N
B6	227-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.1848	29.117	0.0958				false	0.2	true	3	22		N	N
B7	227-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
B7	227-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	37.9553	37.9553					false	0.01	false	3	20		N	N
B8	227-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y
B8	227-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.9553					false	0.01	false	3	20		N	Y
B9	84-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.0342	25.9546	0.1126				false	0.2	true	3	21		N	N
B10	84-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.8749	25.9546	0.1126				false	0.2	true	3	19		N	N
B11	84-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	26.3268	26.4303	0.1464				false	0.01	false	3	20		N	N
