* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160226_CH_Mcap_11.eds
* Experiment Run End Time = 2016-02-26 13:49:40 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments
A1																	
A2	66-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.6117	28.7104	0.1397				false	0.05	true	16	22	
A3	66-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.8092	28.7104	0.1397				false	0.05	true	16	22	
A4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	26.9735	27.1119	0.1957				false	0.05	true	16	22	
A5	130-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.3725	30.3826	0.0143				false	0.05	true	16	22	
A6	130-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.3927	30.3826	0.0143				false	0.05	true	16	22	
A7	130-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
A7	130-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	30.1418	30.0229	0.1682				false	0.05	false	16	22	
A8	130-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
A8	130-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	29.904	30.0229	0.1682				false	0.05	false	16	22	
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
A11	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	32.2939	32.6044	0.4392				false	0.05	false	16	22	
