* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160229_CH_Mcap_10.eds
* Experiment Run End Time = 2016-02-29 12:39:19 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD
A1																		N
A2	8-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.204	24.7827	0.5958				false	0.05	true	16	22		Y
A3	8-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.3614	24.7827	0.5958				false	0.05	true	16	22		Y
A4	(+)208-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.8851	25.8663	0.0265				false	0.05	true	16	22		N
A5	8-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.5587	28.6118	0.075				false	0.05	true	16	22		N
A6	8-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.6648	28.6118	0.075				false	0.05	true	16	22		N
A7	8-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	33.7466	34.0062	0.3671				false	0.05	false	16	22		N
A7	8-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	29.2008	29.1312	0.0985				false	0.05	false	16	22		N
A8	8-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	34.2658	34.0062	0.3671				false	0.05	false	16	22		N
A8	8-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	29.0615	29.1312	0.0985				false	0.05	false	16	22		N
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A11	(+)208-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	30.8322	30.8986	0.0939				false	0.05	false	16	22		N
A11	(+)208-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	27.8874	27.914	0.0376				false	0.05	false	16	22		N
A12																		N
B1	8-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.1579	27.897	0.369				false	0.05	true	16	22		N
B2	8-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.6361	27.897	0.369				false	0.05	true	16	22		N
B3	8-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	30.0659	30.1293	0.0897				false	0.05	false	16	22		N
B3	8-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	28.6419	28.5308	0.1571				false	0.05	false	16	22		N
B4	8-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	30.1927	30.1293	0.0897				false	0.05	false	16	22		N
B4	8-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	28.4197	28.5308	0.1571				false	0.05	false	16	22		N
B5	119-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.9183	26.07	0.2145				false	0.05	true	16	22		N
B6	119-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.2217	26.07	0.2145				false	0.05	true	16	22		N
B7	119-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	27.4797	27.4984	0.0265				false	0.05	false	16	22		N
