* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160323_CH_Mcap_29.eds
* Experiment Run End Time = 2016-03-23 12:37:50 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	53-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.724	30.6347	0.1262				false	0.05	false	16	22		N	N
A3	53-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.5454	30.6347	0.1262				false	0.05	false	16	22		N	N
A4	NTC	Mc	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
A5	70-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.5104	29.38	0.1845				false	0.05	false	16	22		N	N
A6	70-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.2495	29.38	0.1845				false	0.05	false	16	22		N	N
A7	70-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	34.9032	34.7501	0.2165				false	0.05	false	16	22		N	N
A7	70-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	30.3953	30.1717	0.3163				false	0.05	false	16	22		N	N
A8	70-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	34.597	34.7501	0.2165				false	0.05	false	16	22		N	N
A8	70-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	29.948	30.1717	0.3163				false	0.05	false	16	22		N	N
A9	84-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.49	29.5091	0.0271				false	0.05	false	16	22		N	N
A9	84-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
A10	84-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.5283	29.5091	0.0271				false	0.05	false	16	22		N	N
A10	84-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
A12																		N	N
B1	54-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.9177	29.8176	0.1417				false	0.05	false	16	22		N	N
B2	54-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.7174	29.8176	0.1417				false	0.05	false	16	22		N	N
B3	54-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	32.1936	31.9777	0.3052				false	0.05	false	16	22		N	N
B3	54-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	30.363	30.2494	0.1606				false	0.05	false	16	22		N	N
B4	54-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	31.7619	31.9777	0.3052				false	0.05	false	16	22		N	N
B4	54-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	30.1359	30.2494	0.1606				false	0.05	false	16	22		N	N
B5	71-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.4606	26.4802	0.0277				false	0.05	false	16	22		N	N
B6	71-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.4997	26.4802	0.0277				false	0.05	false	16	22		N	N
B7	71-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.1931	29.0845	0.1536				false	0.05	false	16	22		N	N
B7	71-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	31.5884	31.3624	0.3197				false	0.05	false	16	22		N	N
